video_id,title,channel_title,category_id,views,likes,dislikes,comment_total,date
jt2OHQh0HoQ,"Live Apple Event - Apple September Event 2017 - iPhone 8, iPhone X, iOS 11 - Apple Keynote",Apple Event,28,7426393,78240,13548,705,13.09
AqokkXoa7uE,Holly and Phillip Meet Samantha the Sex Robot | This Morning,This Morning,24,494203,2651,1309,0,13.09
YPVcg45W0z4,My DNA Test Results! I'm WHAT?!,emmablackery,24,142819,13119,151,1141,13.09
T_PuZBdT2iM,getting into a conversation in a language you don't actually speak that well,ProZD,1,1580028,65729,1529,3598,13.09
NsjsmgmbCfc,Baby Name Challenge!,Sprinkleofglitter,26,40592,5019,57,490,13.09
zZ2CLmvqfXg,"REVEALED - FIFA 18 stats for Chelsea's Hazard, Luiz & Christensen!",Rio Ferdinand Presents FIVE,24,317696,9449,135,464,13.09
w8fAellnPns,Juicy Chicken Breast - You Suck at Cooking (episode 65),You Suck At Cooking,26,479291,23935,638,1941,13.09
LcZ2AuvxXNA,Nerf Bow Trick Shots | Dude Perfect,Dude Perfect,17,10532409,384841,7547,23849,13.09
lamseWekh8Y,Weekend in BRIGHTON with Mike! | Fleur De Vlog,FleurDeVlog,22,65453,2761,33,223,13.09
QBGaO89cBMI,Radiohead - Lift,Radiohead,10,751743,42272,358,3250,13.09
r4RfsfD6ZhM,iPhone leaks (YIAY #355),jacksfilms,23,1121715,65988,591,51025,13.09
gFIUXqcOulA,Flinch w/ Fifth Harmony,The Late Late Show with James Corden,24,199102,14916,324,1098,13.09
eM_FR7I2Ttw,Harry Styles - The Chain (Fleetwood Mac cover) in the Live Lounge,BBCRadio1VEVO,10,1024398,61352,967,4097,13.09
MdzGZv3zQ-U,"Action Bronson and Sean Evans Have a Sandwich Showdown, Judged by Mario Batali | Sean in the Wild",First We Feast,26,483360,16251,245,1588,13.09
ql0Op1VcELw,What's Actually the Plane of the Future,Wendover Productions,27,601419,19564,658,2510,13.09
6vGg-jJl30A,THIS MADE MY DAD CRY! | Story of my Comeback Competition,Nile Wilson,17,185541,12172,114,827,13.09
-Ifnaxi2LQg,Fergie - You Already Know ft. Nicki Minaj,FergieVEVO,10,814262,66290,3557,5546,13.09
TqG3syU5H7E,WHY I STOPPED UPLOADING,Estée Lalonde,22,169898,5470,362,490,13.09
F2uJvwiSZAQ,How 9/11 changed Disney's Lilo & Stitch,Vox,25,1691734,39633,1775,5191,13.09
a7Sf_H2cFdM,Drowning for Power - Rooster Teeth Animated Adventures,Rooster Teeth,1,917746,25455,731,1073,13.09
DuPXdnSWoLk,The Child in Time: Trailer - BBC One,BBC,24,40884,1126,15,131,13.09
j6fn3LfIfww,Was It Worth It?,Bubzvlogz,22,125196,5388,46,418,13.09
LDcm6twPEJA,The Problem With Our Phones,The School of Life,27,162818,9523,416,1079,13.09
hQbeB0YXLhs,Fenty Beauty Pro Filt'r Foundation Review|| Nyma Tang #thedarkestshade,Nyma Tang,26,1936216,74528,1059,6552,13.09
yuwp7x_IiZ4,playing with old fridges -  public information film 1970s UK advert,BlytheWorld1972,1,22668,62,0,27,13.09
7wGDvthZ0ng,"PewDiePie Getting TAKEN DOWN After Saying N Word? KSI CALLS Out PewDiePie, Banks Defends Him",Scarce,24,1701667,53795,8517,36290,13.09
VIlqTS96NFY,"Autumn Hair, Lingerie & Lots More! August Favourites 2017 | Melanie Murphy",Melanie Murphy,22,35536,2094,40,415,13.09
TeSoGKTZQl8,TESTING SOPH X MAKEUP REVOLUTION PALETTES!! | sophdoesnails,sophdoesnails,26,189389,15787,104,2479,13.09
12fphklmFzk,"Asuka is coming to Raw: Raw, Sept. 11, 2017",WWE,17,369541,7658,469,1887,13.09
GpAuCG6iUcA,Fifty Shades Freed - Teaser [HD],Fifty Shades,24,4659935,17509,2542,2157,13.09
4tXF7w1Nbhk,"MOVING VLOG #2 | EVERYTHING IS PINK, A HOUSE TOUR OF WHAT I'VE DONE SO FAR+ BUILDING IKEA FURNITURE!",Emily Canham,22,153427,8915,91,1080,13.09
itGLQk8oY2Q,SHOPPING FENTY BEAUTY & BACK AT THE GYM | VLOGTEMBER,SamanthaMariaVlogs,26,109101,4209,109,462,13.09
iXexmZm3_j8,$3 Seafood Vs. $213 Seafood • Australia,BuzzFeedVideo,22,4615562,104889,2180,11355,13.09
LTnl36-0-zU,After Hours: 6 Movies Whose Timelines Don't Add Up,Cracked,23,379393,14093,323,1338,13.09
4MkC65emkG4,Hand In Hand A Benefit For Hurricane Relief | MTV,MTV,24,274358,9213,476,838,13.09
-JmNKGfFj7w,Jim Carrey Sounds Off on Icons and More at NYFW 2017 | E! Live from the Red Carpet,E! Live from the Red Carpet,24,2524251,17100,676,5311,13.09
Odoe1qVkcJ4,The Good Boys Of YouTube (The Jimquisition),Jim Sterling,20,463425,26446,8020,12806,13.09
F6zuGsGsnew,Bolton 0-1 Blades - match action,SheffieldUTube,17,3263,108,2,7,13.09
qVUSLxQyy9c,"Exclusive: President Trump Being Drugged Ahead Of Coup, Sources Claim",The Alex Jones Channel,25,182142,4041,820,3267,13.09
gG7JEFWQ_18,Last Week I Found Jesus,DarkSquidge,22,82601,5311,67,1662,13.09
NIpEbO-M6bY,Hurricane Irma: Looters caught on camera in Miami - BBC News,BBC News,25,136677,490,206,1841,13.09
qZVm-2nM0sA,Rudimental - Sun Comes Up feat. James Arthur [Official Video],Rudimental,10,214126,9278,139,349,13.09
zTjcPeb2Gwg,IM GONNA BE A FATHER (Things Got Awkward),Wil Dasovich,22,807265,26518,522,5996,13.09
3yoGE3v4A8w,FAIL.. + *New* ESTEE LAUDER DOUBLE WEAR NUDE {First Impression Review & Demo!} 15 DAYS OF FOUNDATION,thataylaa,26,141937,9886,130,1224,13.09
BlBztBP0OAs,Autumn Fashion Haul - £35 Highstreet & Luxury,Amelia Liana,26,58169,1906,73,198,13.09
WoPtuVbaSKQ,CHOCOLATE CHIP COOKIE CUPCAKES - NERDY NUMMIES,Rosanna Pansino,26,315091,19533,204,3172,13.09
3-yamPXZQtU,Bryson Tiller - Run Me Dry (Official Video),BrysonTillerVEVO,10,503585,41072,362,3399,13.09
DUFBEamEF0Q,Larry's Back & Nothing Has Changed | Curb Your Enthusiasm Season 9 Trailer #2 (2017) | HBO,HBO,1,498126,6298,112,789,13.09
JsTptu56GM8,How Computers Compress Text: Huffman Coding and Huffman Trees,Tom Scott,27,330727,18020,112,1017,13.09
HRr8GRgOGAc,Killing spawn peekers can be hard sometimes,sjallday0015,22,324532,6060,72,252,13.09
08RHSZvixec,BLIND TASTE TEST // Grace Helbig,Grace Helbig,22,141356,9465,55,956,13.09
bhk1rzBdvtI,Harrison Styles is heading in One Direction… Boot Camp! | Auditions Week 2 | The X Factor 2017,The X Factor UK,24,162018,2566,72,0,13.09
5ywKal6-anc,"Gigi Hadid Loses High Heel During Fashion Week, Walks It Off Like a Pro | TMZ",TMZ,24,703750,2921,2196,1042,13.09
Rew50oYjRqA,FALL MAKEUP TUTORIAL | Talk  Through Tutorial | Casey Holmes,Casey Holmes,26,246389,15307,247,1842,13.09
aZkqHx5uri4,Can You Assume Sexuality Based on a First Impression? | Tell My Story,SoulPancake,24,331993,14276,626,1927,13.09
gQvHtXWlXDE,Minelli - Empty Spaces (Official Video) [Ultra Music],Ultra Music,10,265337,3986,197,252,13.09
ykUupQoJsIY,What NOT to do at University,Daniel Howell,22,1560006,190937,793,19925,13.09
3VxviCvN5sU,A tribute to Sir Bruce Forsyth - Strictly Come Dancing 2017: Launch,BBC Strictly Come Dancing,24,452338,6684,298,587,13.09
LLGENw4C1jk,"Stephen A. Smith, Snoop Dogg and Magic Johnson discuss Colin Kaepernick | First Take | ESPN",ESPN,17,121447,1302,102,512,13.09
GdiNiqgaMhM,NEW In Beauty: September | Fleur De Force,Fleur DeForce,26,119670,3821,73,377,13.09
2ts6s-Ekfoc,Doug hyde Summertime cake tutorial (ice cream van cake),Zoes Fancy Cakes,26,12393,761,6,45,13.09
ppGCbh8ggUs,The Constitution of the Spartans,Historia Civilis,27,230701,11767,184,1519,13.09
YS3CrLG8dEg,Super Mario 64 Online Release & Download,Kaze Emanuar,20,1023353,22255,264,3209,13.09
YQYslaA1Lus,How Kanye West’s ‘Graduation’ Changed Music | Genius News,Genius,10,228731,9743,292,1119,13.09
XsFitrO-nYk,Noel Gallagher Don't Look Back In Anger We Are Manchester 9/9/17 Oasis,stuhutchings,10,127097,1068,61,260,13.09
u6iVspBWzZU,what is derealisation / depersonalisation?,doddlevloggle,24,157166,19869,77,2027,13.09
OudFElslbh4,Viral Instagram Makeup Trends!! Wavy Eyebrows Tested! Alisha Marie,AlishaMarie,26,1617120,83410,1014,7114,13.09
Lx1KYzpdtLk,HOMEWARE ACCESSORIES HAUL | DECORATING OUR NEW FLAT,Inthefrow,26,61781,2543,58,267,13.09
Mq9dxmh6JiE,FENTY BEAUTY by RIHANNA FULL REVIEW,James Charles,24,1152639,45401,4310,5708,13.09
P9XyzipzINg,Watch the moment this Sky News man just couldn't talk about Brexit anymore,The Poke,24,273962,3105,129,594,13.09
nZHZMVlc9A0,MINIMINTER REACTS TO KSI - ADAM'S APPLE,miniminter,20,3576396,155585,6168,6702,13.09
X0U8Awfizoc,I Tried The Wavy Lips Trend?,grav3yardgirl,26,412117,16287,748,2254,13.09
9CILSvf1snQ,GOLD DIVA MACARONS- The Scran Line,The Scran Line,26,27794,1690,34,174,13.09
gmXuUgB7T3Y,Try-On FALL HAUL! Fashion + Drugstore Makeup | Ingrid Nilsen,Ingrid Nilsen,26,185984,6155,129,320,13.09
6aKua_hvo5Y,Resumen de FC Barcelona vs RCD Espanyol (5-0),LaLiga Santander,17,688485,6543,509,350,13.09
0KLFeWlJtvY,Tom Fletcher Book Club at WHSmith,Tom Fletcher,24,50058,3299,14,241,13.09
tx20wIAA_IE,Outrageous Post!,ItsWayPastMyBedTime,24,76714,5830,47,337,13.09
w6vHtjZKUss,The Gettable Ken Bone | Real Time with Bill Maher (HBO),Real Time with Bill Maher,1,355492,4811,363,1478,13.09
P1HFdopKDro,50 AMAZING Facts to Blow Your Mind! #88,MatthewSantoro,27,506525,13349,463,1492,13.09
AM60_0WmYJ8,"Arsenal 3-0 Bournemouth | It's Only One Game, I'm Still Not Confident (DT)",ArsenalFanTV,17,496166,8235,450,1098,13.09
BRzPaDMeRks,These Are The Best Features Coming To iPhones.,UrAvgConsumer,28,352276,13098,508,1297,13.09
_NlKTMvnjIc,"Hurricane Irma Now a Category 3, Could 'Re-Engergize' to Category 4 | MSNBC",MSNBC,25,1769256,8048,2123,3359,13.09
